time,id,x,y
10,1,-2.0356860160827637,-1.4669426679611206
10,2,2.72164249420166,-0.8460286855697632
20,1,-2.0298573970794678,-1.465428113937378
20,2,2.72164249420166,-0.8460286855697632
30,1,-2.0223824977874756,-1.4600584506988525
30,2,2.72164249420166,-0.8460286855697632
40,1,-2.0654468536376953,-1.451613426208496
40,2,2.72164249420166,-0.8460286855697632
50,1,-2.0379910469055176,-1.413448691368103
50,2,2.7249693870544434,-0.8517423868179321
60,1,-1.9948562383651733,-1.4170598983764648
60,2,2.6000254154205322,-0.8510295748710632
70,1,-1.896030306816101,-1.4382904767990112
70,2,2.4821441173553467,-0.8752291798591614
80,1,-1.7950776815414429,-1.458035945892334
80,2,2.369546413421631,-0.8974635601043701
90,1,-1.640507459640503,-1.4217969179153442
90,2,2.2537543773651123,-0.9279673099517822
100,1,-1.476133942604065,-1.3682670593261719
100,2,2.1428356170654297,-0.9546968936920166
110,1,-1.3582733869552612,-1.3542866706848145
110,2,2.0211923122406006,-0.9760216474533081
120,1,-1.176559329032898,-1.3696116209030151
120,2,1.8859224319458008,-1.0042561292648315
130,1,-1.0251131057739258,-1.352308988571167
130,2,1.7524523735046387,-1.0294244289398193
140,1,-0.8065873384475708,-1.2940360307693481
140,2,1.6200180053710938,-1.0535613298416138
150,1,-0.6136846542358398,-1.3311851024627686
150,2,1.4966310262680054,-1.073893666267395
160,1,-0.3555552065372467,-1.4730913639068604
160,2,1.3595091104507446,-1.0980333089828491
170,1,-0.23142066597938538,-1.538511037826538
170,2,1.2423001527786255,-1.1189535856246948
180,1,0.0013022124767303467,-1.640425682067871
180,2,1.1023695468902588,-1.1435741186141968
190,1,0.08177468180656433,-1.672475814819336
190,2,0.966524600982666,-1.1670222282409668
200,1,0.18297764658927917,-1.7586123943328857
200,2,0.8485634326934814,-1.1891591548919678
210,1,0.27528390288352966,-1.772956132888794
210,2,0.7334752082824707,-1.2105207443237305
220,1,0.50711989402771,-1.7699236869812012
220,2,0.5978498458862305,-1.2349094152450562
230,1,0.6300055980682373,-1.7725918292999268
230,2,0.47233960032463074,-1.2594844102859497
240,1,0.7929441928863525,-1.787498950958252
240,2,0.3459189832210541,-1.282263159751892
250,1,0.9257892370223999,-1.765571117401123
250,2,0.22123286128044128,-1.3040310144424438
260,1,1.091373085975647,-1.7069998979568481
260,2,0.11479827761650085,-1.3236058950424194
270,1,1.2656161785125732,-1.634600281715393
270,2,-0.017768770456314087,-1.3451718091964722
280,1,1.4129441976547241,-1.5989853143692017
280,2,-0.15508702397346497,-1.368448257446289
290,1,1.5425242185592651,-1.5276374816894531
290,2,-0.2942737638950348,-1.3885138034820557
300,1,1.7406573295593262,-1.3412432670593262
300,2,-0.43369951844215393,-1.4114952087402344
310,1,1.8744661808013916,-1.2472738027572632
310,2,-0.5713601112365723,-1.433607816696167
320,1,2.12126088142395,-1.126173496246338
320,2,-0.7058887481689453,-1.4554493427276611
330,1,2.3096189498901367,-0.9811577796936035
330,2,-0.8430987596511841,-1.4765948057174683
340,1,2.53096079826355,-0.7974172234535217
340,2,-0.981056809425354,-1.5020896196365356
350,1,2.654567003250122,-0.7456782460212708
350,2,-1.1115585565567017,-1.523814082145691
360,1,2.8325393199920654,-0.6508621573448181
360,2,-1.2422746419906616,-1.5466852188110352
370,1,2.9573724269866943,-0.5358044505119324
370,2,-1.3733803033828735,-1.5708706378936768
380,1,2.9573724269866943,-0.5358044505119324
380,2,-1.491750955581665,-1.5894581079483032
390,1,2.9573724269866943,-0.5358044505119324
390,2,-1.6259737014770508,-1.6136850118637085
400,1,2.9573724269866943,-0.5358044505119324
400,2,-1.6749814748764038,-1.621253490447998
410,1,2.9573724269866943,-0.5358044505119324
410,2,-1.6184568405151367,-1.5952075719833374
420,1,2.9573724269866943,-0.5358044505119324
